sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:﻿field,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
Max Tumour Diameter,27,31,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815160,27,Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,55,109,,,0.52,FLAGGED,EQUAL,TIM,1.72E+12,45881238,550,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,Xa,2,,,0.43,APPROVED,EQUAL,TIM,1.72E+12,35919633,pNX,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,1a,962,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919353,pN1a,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,10.4,1,,,0.73,FLAGGED,EQUAL,TIM,1.72E+12,36308526,0.4,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,0a,101,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919508,pT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,45,203,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815226,45,Observation,MAPS_TO,,<auto>,1.72E+12,
pN,0a,2,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919164,pN0a,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,1b2,9,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919039,cT1b2,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,12:00 AM,2,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,44792857,"Timed collection: specimen collection, 12:00 hours",Observation,MAPS_TO,,<auto>,1.72E+12,
pT,2a1,1,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919162,pT2a1,Meas Value,MAPS_TO,,TIM,1.72E+12,
PR,Borderline,13,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919285,Borderline,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,1b,2419,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919186,pT1b,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,800,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45882144,800,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,3,7342,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919139,cT3,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,140,5,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,1620522,140 minutes,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,2,7401,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919656,cT2,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,0b,2,,,0.53,APPROVED,EQUAL,TIM,1.72E+12,35919314,cT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,X,1176,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919629,cTX,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,1.5,2,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45882548,1.5,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,0,29687,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919637,pN0,Meas Value,MAPS_TO,,TIM,1.72E+12,
HER2 FISH,1,2,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
Max Tumour Diameter,120,9,,,1,FLAGGED,EQUAL,TIM,1.72E+12,1620373,120,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,150,3,,,0.51,FLAGGED,EQUAL,TIM,1.72E+12,43859590,Iron 150 MG,Drug,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,0.5,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45879805,0.5,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cT,1:00 AM,2,,,0.55,FLAGGED,EQUAL,TIM,1.72E+12,4131345,01:03,Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,4.8,1,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,922301,pectin 4.8 MG/ML,Drug,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,16,31,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45879164,16,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,0b,2,,,0.53,APPROVED,EQUAL,TIM,1.72E+12,35919895,pN0b,Meas Value,MAPS_TO,,TIM,1.72E+12,
PR,Positive,940,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919362,PR positive,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,4b,880,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919628,pT4b,Meas Value,MAPS_TO,,TIM,1.72E+12,
PR,Negative,380,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919700,PR negative,Meas Value,MAPS_TO,,TIM,1.72E+12,
pN,3c,26,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919877,pN3c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,83,1,,,0.26,FLAGGED,EQUAL,TIM,1.72E+12,35946557,CD83 (CD83 molecule) gene variant measurement,Measurement,MAPS_TO,,<auto>,1.72E+12,
