sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AD/1324/2,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
RD/5352/78,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708793716,
RD/3626/9,iu/dL,1,,0.02,APPROVED,EQUAL,vvcb,1704715491472,9332,international unit per deciliter,Unit,MAPS_TO,,vvcb,1704715480379,
RD/688/15,tril/L,1,,0.23,APPROVED,EQUAL,vvcb,1704723968861,8734,trillion per liter,Unit,MAPS_TO,,vvcb,1704723966423,
MC/4377/43/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708793857,
MC/4321/46/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708794013,
RD/6654/51,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
RD/3177/42,cm of water,1,,0.53,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
AG/3/27/178/5,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
RD/5353/41,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708794294,
RD/2002/5,iu/mL,1,,0.03,APPROVED,EQUAL,vvcb,1704715491472,8985,international unit per milliliter,Unit,MAPS_TO,,vvcb,1704715487436,
AG/253/3/246/4,u,1,,0.00,FLAGGED,EQUAL,vvcb,1704724030262,0,Unmapped,,MAPS_TO,,,0,
MC/4377/43/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708794497,
MC/4321/46/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708794685,
RD/6660/120,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AD/3/31,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
RD/3177/41,cm of water,1,,0.53,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
RD/5353/76,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708794904,
RD/2003/5,iu/mL,1,,0.03,APPROVED,EQUAL,vvcb,1704715491472,8985,international unit per milliliter,Unit,MAPS_TO,,vvcb,1704715487436,
MC/2407/3/45/1,u systemic,1,,0.27,FLAGGED,EQUAL,vvcb,1704724133342,9374,ounce (troy system),Unit,MAPS_TO,,<auto>,1704708795013,
MC/4386/43/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708795154,
MC/6372/39/410/7,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
MC/4322/46/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708795325,
AD/3/35,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
RD/5353/77,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708795497,
RD/3177/40,cm of water,1,,0.53,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
MC/1757/3/45/1,u systemic,1,,0.27,FLAGGED,EQUAL,vvcb,1704724133342,9374,ounce (troy system),Unit,MAPS_TO,,<auto>,1704708795607,
RD/2011/8,iu/mL,1,,0.03,APPROVED,EQUAL,vvcb,1704715491472,8985,international unit per milliliter,Unit,MAPS_TO,,vvcb,1704715487436,
MC/4386/43/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708795810,
MC/6395/39/410/7,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
MC/4322/46/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708795982,
AD/3/36,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
RD/5353/78,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708796107,
RD/2418/74,cmH20,1,,0.28,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
MC/1766/8/58/1,u/L,1,,0.00,FLAGGED,EQUAL,vvcb,1704724030262,0,Unmapped,,MAPS_TO,,,0,
RD/1998/5,iu/mL,1,,0.03,APPROVED,EQUAL,vvcb,1704715491472,8985,international unit per milliliter,Unit,MAPS_TO,,vvcb,1704715487436,
MC/4389/43/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708796482,
MC/6398/1/410/7,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AD/3/46,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
MC/4323/46/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708796654,
RD/5353/80,centimeters,1,,0.88,APPROVED,EQUAL,vvcb,1704710143209,8582,centimeter,Unit,MAPS_TO,,<auto>,1704708796685,
RD/5585/75,cmH20,1,,0.28,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
MC/1766/8/58/4,u/bag,1,,0.06,FLAGGED,EQUAL,vvcb,1704724030262,9464,bar,Unit,MAPS_TO,,<auto>,1704708796888,
RD/1997/5,iu/mL,1,,0.03,APPROVED,EQUAL,vvcb,1704715491472,8985,international unit per milliliter,Unit,MAPS_TO,,vvcb,1704715487436,
MC/4389/43/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708797122,
MC/6470/2/641/4,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AG/3/47/200/10,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
